CourseCode,Semester
CHEM 101,1
MATH 151,1
ENES 101,1
ENGL GEP,1
AH GEP,1
CHEM 102,2
CHEM 102L,2
PHYS 121,2
MATH 152,2
ENME 110,2
ENCH 215,3
CHEM 351,3
MATH 251,3
PHYS 122,3
AH GEP,3
ENCH 225L,4
CHEM 351L,4
MATH 225,4
Advanced Science Elective,4
AH GEP,4
SS GEP,4
ENCH 300,5
ENCH 425,5
CHEM 301,5
CHEM 311L,5
Foreign Language 201,5
ENCH 427,6
ENCH 440,6
ENCH 442,6
CHEM 302,6
SS GEP,6
ENCH 444,7
ENCH 445,7
ENCH 437L,7
ENCH Elective,7
C GEP,7
ENCH 446,8
ENCH Elective,8
ENCH Elective,8
SS GEP,8
