CourseCode,Semester
CHEM 101,1
MATH 151,1
ENES 101,1
ENGL GEP,1
AH GEP,1
CHEM 102,2
CHEM 102L,2
PHYS 121,2
MATH 152,2
ENME 110,2
ENME 220,3
STAT 355,3
MATH 251,3
PHYS 122,3
ENME 221,4
MATH 225,4
ENME 204,4
ENME 217,4
AH GEP,4
CMPE 306,5
ENME 320,5
ENME 303,5
ENME 301,5
SS GEP,5
ENME 304,6
ENME 321,6
ENME 306,6
ENME 332L,6
Foreign Language 201,6
ENME 403,7
ENME 432L,7
Science/Technical Elective,7
AH GEP,7
SS GEP,7
ENME 482L,8
ENME 444,8
ENME 4XX,8
SS GEP,8
C GEP,8
