Requirement Type,Credits Needed,Classes Needed,Possible Courses,Attributes
CS Gateway,11,3,"CMSC 201, CMSC 202, CMSC 203",
CS,23,7,"CMSC 201, CMSC 202, CMSC 203, CMSC 304, CMSC 313, CMSC 331, CMSC 341",CSBS
CS 400 Level Core,12,4,"CMSC 411, CMSC 421, CMSC 441, CMSC 447","UL, ResCred, CSBS"
Mathematics,11,3,"MATH 151, MATH 152, MATH 221",CSBS
Statistics,4,1,STAT 355,"UL, ResCred, CSBS"
CS Electives,6,2,"CMSC 4XX Elective, CMSC 426, CMSC 431, CMSC 435, CMSC 448, CMSC 451, CMSC 455, CMSC 456, CMSC 461, CMSC 471, CMSC 481","UL, ResCred, CSBS"
Technical Electives,9,3,"CMSC 4XX Elective, CMSC 426, CMSC 427, CMSC 431, CMSC 433, CMSC 435, CMSC 436, CMSC 436H, CMSC 437, CMSC 438, CMSC 442","UL, ResCred, CSBS"
English Composition,3,1,"ENGL 100, ENGL GEP",GED
Art/Humanities,9,3,AH GEP,GED
Social Sciences,9,3,SS GEP,GED
Science,8,2,"Science Sequence I, Science Sequence II, BIOL 141, BIOL 142, CHEM 101, CHEM 102, PHYS 121, PHYS 122",GED
Science Lab,2,1,"Science Lab, SCI 101L, CHEM 102L, PHYS 122L, GES 286",GED
Culture,3,1,C GEP,GED
Language,3,1,"ARBC 201, CHIN 201, FREN 201, GERM 201, HEBR 201, HIND 201, JPNS 201, KORE 201, RUSS 201, SPAN 201, WOL 201, Foreign Language 201",GED
